account_name,account_type,hq_city,hq_state,website_domain,fund_or_aum,verticals_active,states_active,platform_count,texas_exposure,sponsor_parent,trigger_type,trigger_date,trigger_source_url,contact_name,contact_title,verification,primary_source_url,last_checked,notes,tier,stage,source_key
Champions Group Holdings,P4_PLATFORM,Orange County,CA,championsgrp.com,~$2.5B EV / ~$140M EBITDA,residential_hvac|residential_plumbing|residential_electrical,TX,,yes,Blackstone (BXPE),T3,2026-02-17,https://ctacquisitions.com/guides/private-equity-hvac-2026/,Frank DiMarco,CEO,DISCOVERY,https://ctacquisitions.com/guides/private-equity-hvac-2026/,2026-08-17,Sold to Blackstone Feb 2026 (~18.5x). Prior sponsor Odyssey. Lex Cooling Heating Plumbing & Electrical (North Texas) add-on 2026-01-15.,1,Not reviewed,P4-012
Comfort Systems USA,P4_PLATFORM,Houston,TX,comfortsystemsusa.com,NYSE: FIX,commercial_hvac|commercial_mep|commercial_electrical,TX|UT,,yes,(public company),T3,2025-10-01,https://ctacquisitions.com/guides/private-equity-hvac-2026/,,VP Corporate Development,VERIFIED,https://ctacquisitions.com/guides/private-equity-hvac-2026/,2026-08-17,"PUBLIC STRATEGIC, not sponsor-backed. Continuous roll-up. J&S Mechanical (UT); Feyen Zylstra + Meisner Electric (Oct 2025). Large in-house corp dev.",1,Not reviewed,P4-013
Crete United,P4_PLATFORM,Charlotte,NC,creteunited.com,,commercial_hvac|commercial_mep|facilities_services|energy_services,TX,,yes,Ridgemont Equity Partners,T3,2024-03-19,https://www.threesixtyseven.com/wp-content/uploads/2025/09/US-Commercial-HVAC-Plumbing-Industry-Report-V2.pdf,,,DISCOVERY,https://www.threesixtyseven.com/wp-content/uploads/2025/09/US-Commercial-HVAC-Plumbing-Industry-Report-V2.pdf,2026-08-17,"ProStar Energy Solutions (Frisco, TX) add-on. Ridgemont sale process reported late 2025 - T1 signal, deprioritize.",3,Not reviewed,P4-014
Del-Air,P4_PLATFORM,Sanford,FL,delair.com,,residential_hvac|residential_plumbing|residential_electrical,FL,,unknown,Astara Capital Partners,T3,2025-01-01,https://www.privsource.com/acquisitions/private-equity-backed-acquisitions/hvac-mechanical,,,DISCOVERY,https://www.privsource.com/acquisitions/private-equity-backed-acquisitions/hvac-mechanical,2026-08-17,FL residential trades. McGowan's and other add-ons.,3,Not reviewed,P4-015
Eastern Exterior Partners,P4_PLATFORM,Greenwich,CT,,,roofing,NY|CT|NJ,,unknown,Confluence Point Holdings,T3,2025-06-03,https://www.prnewswire.com/news-releases/confluence-point-acquires-perrys-roofing-launches-eastern-exterior-partners-302470946.html,,,VERIFIED,https://www.prnewswire.com/news-releases/confluence-point-acquires-perrys-roofing-launches-eastern-exterior-partners-302470946.html,2026-08-17,Residential roofing platform launched on Perry's Roofing Jun 2025. Domain not verified.,2,Not reviewed,P4-016
Encore Fire Protection,P4_PLATFORM,Pawtucket,RI,encorefp.com,,fire_life_safety,,,unknown,Permira,T3,2025-03-01,https://dealseam.com/fire-life-safety-pe-rollup-tracker-2026,,,DISCOVERY,https://dealseam.com/fire-life-safety-pe-rollup-tracker-2026,2026-08-17,"NE-anchored ITM. CONFLICT: sponsor named as Permira by one source, Berkshire Partners by another. Both carried.",2,Not reviewed,P4-017
Eskola Roofing & Waterproofing,P4_PLATFORM,Chattanooga,TN,eskola.com,,roofing,TX|NM|FL|SC,,yes,Eagle Merchant Partners,T3,2024-11-05,https://ctacquisitions.com/roofing-pe-rollup-tracker-2026/,,,DISCOVERY,https://ctacquisitions.com/roofing-pe-rollup-tracker-2026/,2026-08-17,22 locations. Frontier/BBG/Keating Nov 2024.,3,Not reviewed,P4-018
Exigent Group,P4_PLATFORM,Reston,VA,exigentgroup.com,,commercial_hvac|commercial_mep|building_automation|commercial_plumbing,OH|MD,,unknown,Huron Capital,T3,2024-07-23,https://www.businesswire.com/news/home/20240723945976/en/,Peter van Niekerk,CEO,VERIFIED,https://www.businesswire.com/news/home/20240723945976/en/,2026-08-17,Mission-critical mechanical. 7+ acquisitions; Smith-Boughan + EASI Jul 2024.,3,Not reviewed,P4-019
Fire Safety and Protection (FSP),P4_PLATFORM,,,firesp.com,,fire_life_safety,,,unknown,Sunny River Management,T3,2025-01-01,https://www.pehub.com/sunny-river-owned-fsp-acquires-allard-fire-protection/,Curt Bagnall,CEO,VERIFIED,https://firesp.com/news/fire-safety-protection-acquires-livingston-fire-protection-inc/,2026-08-17,US/Canada. 8+ acquisitions. Family-office-backed platform - unusual and worth a call.,3,Not reviewed,P4-020
FirstCall Mechanical Group,P4_PLATFORM,Austin,TX,firstcallmechanical.com,,commercial_hvac|commercial_mep|building_automation|commercial_electrical,TX|FL|MA,,yes,SkyKnight Capital,T3,2025-08-27,https://www.achrnews.com/articles/152616-skyknight-capital-launches-firstcall-mechanical-group-with-three-acquisitions,Evan Eachus,Founder & CEO,VERIFIED,https://www.achrnews.com/articles/152616-skyknight-capital-launches-firstcall-mechanical-group-with-three-acquisitions,2026-08-17,LC Anderson (Aug 2025); CLS Facility Services. Texas HQ.,1,Not reviewed,P4-021
Founders Home Service Group,P4_PLATFORM,Overland Park,KS,,,residential_plumbing|residential_hvac|residential_electrical,KS,,unknown,Kompass Kapital,T3,2026-05-01,https://ctacquisitions.com/plumbing-pe-rollup-tracker-2026/,,,DISCOVERY,https://ctacquisitions.com/plumbing-pe-rollup-tracker-2026/,2026-08-17,AAA City Plumbing May 2026. Family-office-backed consolidator. Domain not verified.,1,Not reviewed,P4-022
Foundral,P4_PLATFORM,Cleveland,OH,,,commercial_hvac|commercial_mep|commercial_plumbing,OH,,unknown,McNally Capital,T3,2025-12-04,https://mcnallycapital.com/our-companies,,,VERIFIED,https://mcnallycapital.com/our-companies,2026-08-17,Union-backed mechanical contracting platform built on Smith & Oby. A. Hattersley & Sons add-on. Family-office-backed. Domain not verified.,1,Not reviewed,P4-023
Grizzly MEP,P4_PLATFORM,,,,,commercial_mep|commercial_hvac,VT,,unknown,Garnett Station Partners,T3,2025-01-01,https://www.privsource.com/acquisitions/private-equity-backed-acquisitions/hvac-mechanical,,,DISCOVERY,https://www.privsource.com/acquisitions/private-equity-backed-acquisitions/hvac-mechanical,2026-08-17,Vermont Mechanical partnership. HQ and domain not verified.,3,Not reviewed,P4-024
Guardian Fire Protection Services,P4_PLATFORM,Rockville,MD,guardianfire.com,,fire_life_safety,MD,,unknown,Knox Lane,T3,2025-01-01,https://dealseam.com/fire-life-safety-pe-rollup-tracker-2026,,,DISCOVERY,https://dealseam.com/fire-life-safety-pe-rollup-tracker-2026,2026-08-17,"9 locations, 4 states, ~24,000 commercial customers. Harris Fire Protection add-on. DISTINCT from Guardian Fire Services (Investcorp).",3,Not reviewed,P4-025
Guardian Fire Services,P4_PLATFORM,Nashville,TN,,,fire_life_safety,TX,,yes,Investcorp,T3,2026-08-10,https://dealseam.com/fire-life-safety-pe-rollup-tracker-2026,,,DISCOVERY,https://dealseam.com/fire-life-safety-pe-rollup-tracker-2026,2026-08-17,~17 branches. Houston Fire & Security add-on Aug 2026 = Texas market entry. DISTINCT from Guardian Fire Protection Services (Knox Lane). Domain not verified.,1,Not reviewed,P4-026
Impact Climate Technologies,P4_PLATFORM,,,,,commercial_hvac,TX,,yes,Ardian,T3,2026-01-31,https://www.privsource.com/,,,DISCOVERY,https://www.privsource.com/,2026-08-17,Larry Wunsch & Associates (San Antonio) add-on Jan 2026. HQ and domain not verified.,1,Not reviewed,P4-027
Infinity Home Services,P4_PLATFORM,,,,,roofing,,26,unknown,Freeman Spogli / LightBay,T3,2025-01-01,https://ctacquisitions.com/roofing-pe-rollup-tracker-2026/,,,DISCOVERY,https://axiaadvisors.com/private-equity-roofing-platforms/,2026-08-17,26 portfolio roofing brands. HQ and domain not verified.,3,Not reviewed,P4-028
Kassel Mechanical Holdings,P4_PLATFORM,,TX,,,commercial_mep|fire_life_safety,TX,,yes,Paceline Equity Partners,T3,2025-04-10,https://www.abfjournal.com/,,,DISCOVERY,https://www.abfjournal.com/,2026-08-17,MEPF. Arrow Electric add-on Apr 2025 alongside $40M preferred equity. HQ city and domain not verified.,2,Not reviewed,P4-029
Legacy Service Partners,P4_PLATFORM,Tampa,FL,legacyservicepartners.com,$531M+ total capital raised,residential_hvac|residential_plumbing|residential_electrical,,,unknown,Gridiron Capital,T3,2025-01-01,https://ctacquisitions.com/guides/private-equity-hvac-2026/,Jake Sloane,Co-founder,DISCOVERY,https://ctacquisitions.com/guides/private-equity-hvac-2026/,2026-08-17,"National, 19 states. Founded 2021.",3,Not reviewed,P4-030
Liberty Service Partners,P4_PLATFORM,Addison,TX,,,residential_hvac|residential_plumbing|residential_electrical,TX|FL,,yes,NorthCurrent Partners,T3,2026-04-01,https://www.capstonepartners.com/insights/article-hvac-services-ma-update/,,,DISCOVERY,https://www.prnewswire.com/news-releases/liberty-service-partners-expands-into-the-mid-atlantic-with-partnership-with-hvac--plumbing-unlimited-302749166.html,2026-08-17,Dallas-based. Arctic Breeze (Snidman) Apr 2026; HVAC & Plumbing Unlimited (Mid-Atlantic entry). Domain not verified.,1,Not reviewed,P4-031
Marmic Fire & Safety,P4_PLATFORM,Joplin,MO,marmic.com,,fire_life_safety,,,unknown,KKR,T3,2024-07-01,https://dealseam.com/fire-life-safety-pe-rollup-tracker-2026,,,DISCOVERY,https://dealseam.com/fire-life-safety-pe-rollup-tracker-2026,2026-08-17,Founded 1951. KKR from HGGC Jul 2024.,3,Not reviewed,P4-032
MechanAir,P4_PLATFORM,,,,,commercial_hvac|commercial_mep,VA,,unknown,Amalgam Capital / Delos Capital,T3,2024-10-01,https://www.axial.net/company/amalgam-capital-llc,,,DISCOVERY,https://www.axial.net/company/amalgam-capital-llc,2026-08-17,"HVAC/mechanical platform formed from Core Mechanical, State Mechanical, Hampton Roads Mechanical. HQ and domain not verified.",3,Not reviewed,P4-033
Modigent,P4_PLATFORM,Phoenix,AZ,modigent.com,,commercial_hvac|commercial_mep|commercial_plumbing|building_automation,AZ|FL|TX,,yes,OMERS Private Equity,T3,2025-12-18,https://ctacquisitions.com/guides/private-equity-plumbing-2026/,Dan Bueschel,CEO,DISCOVERY,https://ctacquisitions.com/guides/private-equity-plumbing-2026/,2026-08-17,"Southland Mechanical (Houston, Dec 2025); VMG Mechanical (Jul 2025).",1,Not reviewed,P4-034
National Fire & Safety,P4_PLATFORM,,,,,fire_life_safety,,,unknown,Highview Capital,T3,2025-08-01,https://highviewcapital.com/portfolio/national-fire-safety/,,,VERIFIED,https://highviewcapital.com/portfolio/national-fire-safety/,2026-08-17,"7 Western states. Frontier Fire Protection (Aug 2025), Elite FPS, RCI Systems. HQ and domain not verified.",2,Not reviewed,P4-035
Norlee Group,P4_PLATFORM,Tampa,FL,,,commercial_electrical|building_automation,FL,,unknown,Heartwood Partners,T3,2025-11-05,https://www.privsource.com/acquisitions/electrical-services/2025,,,DISCOVERY,https://www.privsource.com/acquisitions/electrical-services/2025,2026-08-17,Commercial electrical. Inter-Bay Electric (Tampa) Nov 2025. Domain not verified.,1,Not reviewed,P4-036
Optimum Energy Co.,P4_PLATFORM,,,optimumenergyco.com,,energy_services|commercial_mep,KY,,unknown,Bernhard Capital Partners,T3,2026-08-12,https://www.businesswire.com/news/home/20260812343122/en/,,,VERIFIED,https://www.businesswire.com/news/home/20260812343122/en/,2026-08-17,Energy-as-a-Service; central plant optimization. Hussung Mechanical Contractors Aug 2026. HQ not verified.,1,Not reviewed,P4-037
P3 Services,P4_PLATFORM,Seattle,WA,,,residential_plumbing|commercial_plumbing,WA|TX|FL|NC,,yes,Stellex Capital Management,T3,2025-03-04,https://ctacquisitions.com/plumbing-pe-rollup-tracker-2026/,,,DISCOVERY,https://ctacquisitions.com/plumbing-pe-rollup-tracker-2026/,2026-08-17,National plumbing/septic/rooter (Peltram base). Six 2024 acquisitions incl. Schrader Plumbing (Dallas). Domain not verified.,2,Not reviewed,P4-038
Panther Service Group,P4_PLATFORM,,,pantherservicegroup.com,,residential_hvac|residential_plumbing|residential_electrical,FL,,unknown,Pearl Street Capital Partners,T2,2026-01-01,https://www.prnewswire.com/news-releases/pearl-street-capital-partners-launches-panther-service-group-a-new-plumbing-hvac-and-electrical-services-platform-focused-in-florida-302731949.html,,,VERIFIED,https://www.prnewswire.com/news-releases/pearl-street-capital-partners-launches-panther-service-group-a-new-plumbing-hvac-and-electrical-services-platform-focused-in-florida-302731949.html,2026-08-17,NEW FL platform founded 2026. No add-ons yet - high origination need. HQ not verified.,1,Not reviewed,P4-039
"Paschal Air, Plumbing & Electric",P4_PLATFORM,Springdale,AR,,,residential_hvac|residential_plumbing|residential_electrical,AR|TX,,yes,,T3,2025-01-01,https://www.privsource.com/,,,DISCOVERY,https://www.privsource.com/,2026-08-17,"JAK Services (Keller, TX / DFW) add-on 2025. Sponsor undisclosed. Domain not verified.",3,Not reviewed,P4-040
Pavion,P4_PLATFORM,Chantilly,VA,pavion.com,,fire_life_safety|building_automation,,,unknown,Wind Point Partners,T3,2025-01-01,https://ctacquisitions.com/guides/private-equity-platforms-by-sector-2026/,,,DISCOVERY,https://ctacquisitions.com/guides/private-equity-platforms-by-sector-2026/,2026-08-17,Fire/security/AV integration (formerly Corbett Technology Solutions).,3,Not reviewed,P4-041
Peak Utility Services Group,P4_PLATFORM,Broomfield,CO,,,utility_services|energy_services,TX,,yes,Greenbelt Capital Partners,T3,2026-03-11,https://www.orix.com/deals/greenbelt-capital-partners-agrees-to-acquire-peak-utility-services-group-from-orix-capital-partners/,Michael Lennon,CEO,VERIFIED,https://www.orix.com/deals/greenbelt-capital-partners-agrees-to-acquire-peak-utility-services-group-from-orix-capital-partners/,2026-08-17,"~2,800 employees, 15 states. 5 Star Electric (DFW), Superior Pipeline (Fort Worth). Ownership transferring ORIX to Greenbelt. Domain not verified.",1,Not reviewed,P4-042
PremiStar,P4_PLATFORM,Schaumburg,IL,premistar.com,,commercial_hvac|commercial_mep|building_automation,IL|PA|TX,,yes,Partners Group,T3,2025-07-01,https://www.privsource.com/acquisitions/private-equity-backed-acquisitions/hvac-mechanical,,,DISCOVERY,https://www.privsource.com/acquisitions/private-equity-backed-acquisitions/hvac-mechanical,2026-08-17,"52 branches, 16 states, ~2,400 employees. Rabe Environmental (Jul 2025); Dahme Mechanical (Mar 2025); SI Mechanical (Creedmoor/Austin TX).",2,Not reviewed,P4-043
Pueblo Mechanical & Controls,P4_PLATFORM,Phoenix,AZ,pueblomech.com,,commercial_hvac|commercial_plumbing|building_automation,AZ|TX,,yes,OMERS Private Equity,T3,2025-01-01,https://ctacquisitions.com/guides/private-equity-plumbing-2026/,,,DISCOVERY,https://ctacquisitions.com/guides/private-equity-plumbing-2026/,2026-08-17,"11 acquisitions. Climate Solutions (Austin), Evolution Mechanical (Dallas-area).",3,Not reviewed,P4-044
Pye-Barker Fire & Safety,P4_PLATFORM,Alpharetta,GA,pyebarker.com,,fire_life_safety,TX,,yes,Altas Partners / Leonard Green,T3,2025-11-17,https://dealseam.com/fire-life-safety-pe-rollup-tracker-2026,,VP Business Development,DISCOVERY,https://dealseam.com/fire-life-safety-pe-rollup-tracker-2026,2026-08-17,"~9,000 employees, 47 states. Most acquisitive fire platform. FSD Protection (Houston), AAA Fire Extinguisher (Lubbock), Texas Homeland Security & Sound. Large in-house BD.",1,Not reviewed,P4-045
Rampart Exterior Services,P4_PLATFORM,,,,,roofing|facilities_services,TX,,yes,Huron Capital,T3,2025-01-01,https://www.huroncapital.com/news/huron-capital-launches-rampart-exterior-servicestm-to-provide-commercial-roofing-and-exterior-services/,,,VERIFIED,https://www.huroncapital.com/news/huron-capital-launches-rampart-exterior-servicestm-to-provide-commercial-roofing-and-exterior-services/,2026-08-17,Commercial roofing/exterior. Port Enterprises (TX) partnership. HQ and domain not verified.,3,Not reviewed,P4-046
RapidFire Safety & Security,P4_PLATFORM,,,,,fire_life_safety|commercial_electrical,CA|TX,,yes,Concentric Equity Partners,T3,2025-01-15,https://www.privsource.com/acquisitions/electrical-services/2025,,,DISCOVERY,https://www.privsource.com/acquisitions/electrical-services/2025,2026-08-17,"Fire/life safety/low-voltage. Tri-X (San Dimas, CA); All Source Fire Protection (Kerrville, TX).",3,Not reviewed,P4-047
Redwood Services,P4_PLATFORM,Memphis,TN,redwoodservices.com,~$1.1B valuation (2025-05),residential_hvac|residential_plumbing|residential_electrical,WI|IN|CA,,unknown,Altas Partners,T3,2025-04-07,https://ctacquisitions.com/guides/private-equity-hvac-2026/,,,DISCOVERY,https://ctacquisitions.com/guides/private-equity-hvac-2026/,2026-08-17,"Partnership model, 35+ acquisitions. CONFLICT: sponsor named as Altas by one source, Sun Capital by another. Both carried.",2,Not reviewed,P4-048
Regency Electric,P4_PLATFORM,Englewood,CO,,,commercial_electrical,CO,,unknown,MFG Partners,T3,2025-11-18,https://www.businesswire.com/news/home/20251118389583/en/,,,VERIFIED,https://www.businesswire.com/news/home/20251118389583/en/,2026-08-17,Denver commercial electrical founded 1986. Seifried family retained equity. Domain not verified.,1,Not reviewed,P4-049
Reliable Residential (Franchise Equity Partners),P4_PLATFORM,,,,,residential_hvac|other,TX,,yes,Franchise Equity Partners,T3,2025-12-15,https://www.privsource.com/,,,DISCOVERY,https://www.privsource.com/,2026-08-17,"ACG Smith Texas (Precision Garage Door, DFW + Palo Pinto) Dec 2025. HQ and domain not verified.",1,Not reviewed,P4-050
Sciens Building Solutions,P4_PLATFORM,New York,NY,sciensbuildingsolutions.com,,fire_life_safety|building_automation,TX,,yes,The Carlyle Group,T3,2025-01-01,https://dealseam.com/fire-life-safety-pe-rollup-tracker-2026,,,DISCOVERY,https://dealseam.com/fire-life-safety-pe-rollup-tracker-2026,2026-08-17,"National fire detection/alarm integrator, 10+ divisions incl. Texas. Huron Capital minority.",3,Not reviewed,P4-051
Seacoast Service Partners,P4_PLATFORM,,,,,residential_plumbing|commercial_hvac|residential_hvac,FL,,unknown,White Wolf Capital,T3,2025-01-01,https://www.privsource.com/acquisitions/private-equity-backed-acquisitions/hvac-mechanical,,,DISCOVERY,https://www.privsource.com/acquisitions/private-equity-backed-acquisitions/hvac-mechanical,2026-08-17,FL plumbing/HVAC/refrigeration. Always Air Services add-on. HQ and domain not verified.,3,Not reviewed,P4-052
Service Logic,P4_PLATFORM,Charlotte,NC,servicelogic.com,,commercial_hvac|commercial_mep|building_automation,,,unknown,Bain Capital / Mubadala,T3,2025-12-16,https://ctacquisitions.com/guides/private-equity-hvac-2026/,,,DISCOVERY,https://ctacquisitions.com/guides/private-equity-hvac-2026/,2026-08-17,"140+ locations, 5,000+ technicians. Bain took control Dec 2025.",1,Not reviewed,P4-053
Sila Services,P4_PLATFORM,King of Prussia,PA,silaservices.com,~$1.7B / ~17x reported (not SEC-filed),residential_hvac|residential_plumbing|residential_electrical,,,unknown,Goldman Sachs Alternatives,T3,2024-11-10,https://ctacquisitions.com/guides/private-equity-hvac-2026/,,,DISCOVERY,https://ctacquisitions.com/guides/private-equity-hvac-2026/,2026-08-17,NE/Mid-Atlantic/Midwest. Recapped Nov 2024 - fresh capital plus integration mandate.,3,Not reviewed,P4-054
Southern Home Services,P4_PLATFORM,,,southernhomeservices.com,,residential_plumbing|residential_hvac,TX,,yes,,T3,2025-10-20,https://southernhomeservices.com/,,Chief Strategy Officer,VERIFIED,https://southernhomeservices.com/,2026-08-17,"Nick's Plumbing & Air Conditioning (Houston) Oct 2025, 4th TX location. Sponsor undisclosed. HQ not verified.",1,Not reviewed,P4-055
Summit Companies,P4_PLATFORM,St. Paul,MN,summitcompanies.com,,fire_life_safety,,,unknown,BDT & MSD Partners,T3,2025-08-01,https://dealseam.com/fire-life-safety-pe-rollup-tracker-2026,,,DISCOVERY,https://dealseam.com/fire-life-safety-pe-rollup-tracker-2026,2026-08-17,37 states. Performance Systems Integration Aug 2025. Sponsor changed to BDT & MSD Aug 2025.,2,Not reviewed,P4-056
Teague Electric,P4_PLATFORM,Lenexa,KS,teague.com,,commercial_electrical|utility_services,KS,,unknown,IX Capital Partners,T3,2025-05-15,https://www.businesswire.com/news/home/20250515946305/en/,,,VERIFIED,https://www.businesswire.com/news/home/20250515946305/en/,2026-08-17,"KC electrical contractor founded 1978, roll-up platform. Align Collaborate equity.",2,Not reviewed,P4-057
TechServ,P4_PLATFORM,Tyler,TX,,,energy_services|utility_services,TX,,yes,Bernhard Capital Partners,T3,2025-06-02,https://www.bernhardcapital.com/,,,VERIFIED,https://www.bernhardcapital.com/,2026-08-17,"Utility engineering platform, 850+ employees, 21 states. Platform acquired Jun 2025, NO disclosed add-ons since - visible pipeline gap. Domain not verified.",2,Not reviewed,P4-058
Tecta America,P4_PLATFORM,Rosemont,IL,tectaamerica.com,,roofing,NV|OK|TX,,yes,Altas Partners,T3,2025-12-08,https://ctacquisitions.com/roofing-pe-rollup-tracker-2026/,Dave Reginelli,CEO,VERIFIED,https://ctacquisitions.com/roofing-pe-rollup-tracker-2026/,2026-08-17,"Largest PE-backed commercial roofing platform, 100+ locations. Texas Roofing (Round Rock) Dec 2025, 6th add-on of 2025.",1,Not reviewed,P4-059
Tejas Completion Services,P4_PLATFORM,Midland,TX,,,energy_services,TX,,yes,Voyager Interests,T3,2025-03-17,https://www.businesswire.com/,TJ Dostal,CEO,DISCOVERY,https://voyagerinterests.com/,2026-08-17,Specialty pumping. Majority investment Mar 2025. Domain not verified.,2,Not reviewed,P4-060
The Mechanical Group,P4_PLATFORM,,,,,commercial_hvac,NV|CA|TX,,yes,Sound Partners / Calico Group,NONE,,https://www.privsource.com/acquisitions/hvac-mechanical/state/nevada,,,DISCOVERY,https://www.privsource.com/acquisitions/hvac-mechanical/state/nevada,2026-08-17,"SW HVAC-R from Tradewinds Mechanical (Las Vegas), S&R Air Conditioning (LA), Climate Specialists (Austin). trigger_date not established.",3,Not reviewed,P4-061
The Perfect Light,P4_PLATFORM,Farmers Branch,TX,,,commercial_electrical|other,TX,,yes,Argonne Capital Group,T3,2025-10-03,https://www.privsource.com/,,,DISCOVERY,https://www.privsource.com/,2026-08-17,"Premier Lighting Enterprises (Van Alstyne, TX) add-on Oct 2025. Domain not verified.",1,Not reviewed,P4-062
The SEER Group,P4_PLATFORM,,,,,residential_hvac|residential_plumbing|residential_electrical,TX,,yes,,T3,2025-04-29,https://www.businesswire.com/,Justin Nagy,CEO,VERIFIED,https://www.businesswire.com/,2026-08-17,"Swan Electric Plumbing Heating & Air (Sunnyvale TX / greater DFW) Apr 2025 - 42nd brand, Texas entry. Sponsor undisclosed. HQ and domain not verified.",2,Not reviewed,P4-063
United Building Solutions,P4_PLATFORM,Conshohocken,PA,,,commercial_hvac|commercial_mep,TX,,yes,AE Industrial Partners,T3,2026-01-20,https://www.businesswire.com/news/home/20260120089736/en/,David Leathers,CEO,VERIFIED,https://www.businesswire.com/news/home/20260120089736/en/,2026-08-17,"DFW Mechanical Group (Wylie, TX) Jan 2026 - 2nd add-on since Feb 2025. DFW President: Brett Thomas. Domain not verified.",1,Not reviewed,P4-064
United Utility Services,P4_PLATFORM,,,unitedutility.com,,utility_services|energy_services,,,unknown,Sandbrook Capital,T3,2025-12-01,https://www.sandbrook.com/news/sandbrook-announces-acquisition-of-united-utility-services,Colt Moedl,CEO,VERIFIED,https://www.sandbrook.com/news/sandbrook-announces-acquisition-of-united-utility-services,2026-08-17,Electric grid infra services (T&D/substation). Formed 2018 by Bernhard; sold to Sandbrook Dec 2025. HQ not verified.,1,Not reviewed,P4-065
Wrench Group,P4_PLATFORM,Marietta,GA,wrenchgroup.com,,residential_hvac|residential_plumbing|residential_electrical,,,unknown,Leonard Green & Partners,T3,2024-02-01,https://ctacquisitions.com/guides/private-equity-plumbing-2026/,,,DISCOVERY,https://ctacquisitions.com/guides/private-equity-plumbing-2026/,2026-08-17,"25 brands, 27 markets, 14 states. $1.3B refi Sept 2025 (M&A capacity).",3,Not reviewed,P4-066
Anacapa Partners,P5_SEARCH_FUND_INVESTOR,San Mateo,CA,anacapapartners.com,Fund III $79M (2015),other,,,unknown,,NONE,,,Jeff Stevens,Founder / Managing Partner,VERIFIED,https://anacapapartners.com/,2026-08-17,"175+ search partnerships, 60+ operating-company investments. Predictable/recurring revenue. Also acts as IS on select deals.",3,Not reviewed,P5-001
Broadtree Partners,P5_SEARCH_FUND_INVESTOR,Charlotte,NC,broadtreepartners.com,$240M multi-asset continuation fund (2025),facilities_services,,,unknown,,T2,2025-01-01,https://www.prnewswire.com/news-releases/broadtree-partners-announces-240-million-multi-asset-continuation-fund-302754975.html,Brad Batten,Managing Partner,VERIFIED,https://broadtreepartners.com/about/,2026-08-17,Operator-centric LMM $1-10M EBITDA; business/government/healthcare/tech services. Second office Charleston SC.,3,Not reviewed,P5-002
CapitalPad,P5_SEARCH_FUND_INVESTOR,Austin,TX,capitalpad.com,"$300K-$2.5M per deal; 1,400+ accredited investors",facilities_services|residential_hvac,,,yes,,NONE,,,Travis Jamison,Founder / CEO,VERIFIED,https://capitalpad.com/,2026-08-17,"BEST P5 FIT: target industries explicitly listed incl. home services, facilities management, light manufacturing, commercial cleaning, specialty distribution.",3,Not reviewed,P5-003
Endurance Search Partners,P5_SEARCH_FUND_INVESTOR,West Palm Beach,FL,endurancesearchpartners.com,,other,,,unknown,,NONE,,,Rich Augustyn,Founder / Managing Partner,VERIFIED,https://www.endurancesearchpartners.com/,2026-08-17,"Modern family office; 350+ partnerships, 226 investments. States preference for profitable service companies with recurring revenue.",3,Not reviewed,P5-004
ETA Equity,P5_SEARCH_FUND_INVESTOR,Dallas,TX,etaequity.com,,other,,,yes,,NONE,,,Mark Sinatra,Co-Founder,VERIFIED,https://etaequity.com/,2026-08-17,Industry-agnostic search-fund/dual-strategy investor. Dallas-based.,3,Not reviewed,P5-005
Footbridge Partners,P5_SEARCH_FUND_INVESTOR,New York,NY,footbridgepartners.com,,other,,,unknown,,NONE,,,Greg Geronemus,Co-Founder / Managing Partner,VERIFIED,https://www.footbridgepartners.com/,2026-08-17,Founded 2012; stable recurring-revenue businesses in overlooked niches. Second office SF Bay Area.,3,Not reviewed,P5-006
Futaleufu Partners,P5_SEARCH_FUND_INVESTOR,Jackson,WY,futaleufu-partners.com,,other,,,unknown,,NONE,,,David Dodson,Founder,VERIFIED,https://futaleufu-partners.com/,2026-08-17,"Long-hold ETA; industry-agnostic, pattern-recognition over industry thesis.",3,Not reviewed,P5-007
Miramar Equity Partners,P5_SEARCH_FUND_INVESTOR,Dallas,TX,miramarequity.com,Family office; AUM not stated,other,,,yes,,NONE,,,Kurt Leedy,Co-Founder,VERIFIED,https://miramarequity.com/,2026-08-17,Family-office capital funding searchers (Miramar Search Partners); checks up to $25M for stretch deals.,3,Not reviewed,P5-008
Nashton Partners (The Nashton Company),P5_SEARCH_FUND_INVESTOR,,,nashton.com,,facilities_services,,,unknown,,NONE,,,Jason Pananos,Co-Founder,VERIFIED,https://www.nashton.com/,2026-08-17,"Holding company; recurring-revenue services in niche markets (pest/vector control, lake management). HQ city not verified.",3,Not reviewed,P5-009
Next Coast ETA,P5_SEARCH_FUND_INVESTOR,Austin,TX,nceta.com,Next Coast ETA Entrepreneurs Fund I (SEC-filed),other,,,yes,,NONE,,,Dustin Sellers,Partner / Co-Head,VERIFIED,http://nceta.com/,2026-08-17,Search division of Next Coast Ventures; lower/middle market.,3,Not reviewed,P5-010
Pacific Lake Partners,P5_SEARCH_FUND_INVESTOR,Boston,MA,pacificlake.com,"CONFLICT: $2.30B client assets (2025-12-31 brochure) vs $2,179,904,230 Form ADV (2026-05-08)",other,,,unknown,,NONE,,,Coley Andrews,Co-Founder / Partner,VERIFIED,https://www.pacificlake.com/,2026-08-17,"Leading search-fund investor since Jul 2009, 202+ investments. Industry-agnostic, backs service companies ~$10-30M revenue. Both AUM figures carried.",3,Not reviewed,P5-011
