"account_name","account_type","hq_city","hq_state","website_domain","fund_or_aum","verticals_active","states_active","platform_count","texas_exposure","sponsor_parent","trigger_type","trigger_date","trigger_source_url","contact_name","contact_title","verification","primary_source_url","last_checked","notes","tier","stage","source_key","register_match","held_reason","promoted_on"
"Modigent","P4_PLATFORM","Phoenix","AZ","modigent.com","","commercial_hvac|commercial_mep|commercial_plumbing|building_automation","AZ|FL|TX","","yes","OMERS Private Equity","T3","2025-12-18","https://ctacquisitions.com/guides/private-equity-plumbing-2026/","Dan Bueschel","CEO","DISCOVERY","https://ctacquisitions.com/guides/private-equity-plumbing-2026/","2026-08-17","Southland Mechanical (Houston, Dec 2025); VMG Mechanical (Jul 2025).","1","Not reviewed","P4-034","","DISCOVERY — not primary-source verified",""
"Norlee Group","P4_PLATFORM","Tampa","FL","","","commercial_electrical|building_automation","FL","","unknown","Heartwood Partners","T3","2025-11-05","https://www.privsource.com/acquisitions/electrical-services/2025","","","DISCOVERY","https://www.privsource.com/acquisitions/electrical-services/2025","2026-08-17","Commercial electrical. Inter-Bay Electric (Tampa) Nov 2025. Domain not verified.","1","Not reviewed","P4-036","","DISCOVERY — not primary-source verified",""
"P3 Services","P4_PLATFORM","Seattle","WA","","","residential_plumbing|commercial_plumbing","WA|TX|FL|NC","","yes","Stellex Capital Management","T3","2025-03-04","https://ctacquisitions.com/plumbing-pe-rollup-tracker-2026/","","","DISCOVERY","https://ctacquisitions.com/plumbing-pe-rollup-tracker-2026/","2026-08-17","National plumbing/septic/rooter (Peltram base). Six 2024 acquisitions incl. Schrader Plumbing (Dallas). Domain not verified.","2","Not reviewed","P4-038","","DISCOVERY — not primary-source verified",""
"Paschal Air, Plumbing & Electric","P4_PLATFORM","Springdale","AR","","","residential_hvac|residential_plumbing|residential_electrical","AR|TX","","yes","","T3","2025","https://www.privsource.com/","","","DISCOVERY","https://www.privsource.com/","2026-08-17","JAK Services (Keller, TX / DFW) add-on 2025. Sponsor undisclosed. Domain not verified.","3","Not reviewed","P4-040","","DISCOVERY — not primary-source verified",""
"Pavion","P4_PLATFORM","Chantilly","VA","pavion.com","","fire_life_safety|building_automation","","","unknown","Wind Point Partners","T3","2025","https://ctacquisitions.com/guides/private-equity-platforms-by-sector-2026/","","","DISCOVERY","https://ctacquisitions.com/guides/private-equity-platforms-by-sector-2026/","2026-08-17","Fire/security/AV integration (formerly Corbett Technology Solutions).","3","Not reviewed","P4-041","","DISCOVERY — not primary-source verified",""
"PremiStar","P4_PLATFORM","Schaumburg","IL","premistar.com","","commercial_hvac|commercial_mep|building_automation","IL|PA|TX","","yes","Partners Group","T3","2025-07-01","https://www.privsource.com/acquisitions/private-equity-backed-acquisitions/hvac-mechanical","","","DISCOVERY","https://www.privsource.com/acquisitions/private-equity-backed-acquisitions/hvac-mechanical","2026-08-17","52 branches, 16 states, ~2,400 employees. Rabe Environmental (Jul 2025); Dahme Mechanical (Mar 2025); SI Mechanical (Creedmoor/Austin TX).","2","Not reviewed","P4-043","","DISCOVERY — not primary-source verified",""
"Pueblo Mechanical & Controls","P4_PLATFORM","Phoenix","AZ","pueblomech.com","","commercial_hvac|commercial_plumbing|building_automation","AZ|TX","","yes","OMERS Private Equity","T3","2025","https://ctacquisitions.com/guides/private-equity-plumbing-2026/","","","DISCOVERY","https://ctacquisitions.com/guides/private-equity-plumbing-2026/","2026-08-17","11 acquisitions. Climate Solutions (Austin), Evolution Mechanical (Dallas-area).","3","Not reviewed","P4-044","ORG-075 | Pueblo Mechanical & Controls (OMERS)","DISCOVERY — not primary-source verified",""
"Pye-Barker Fire & Safety","P4_PLATFORM","Alpharetta","GA","pyebarker.com","","fire_life_safety","TX","","yes","Altas Partners / Leonard Green","T3","2025-11-17","https://dealseam.com/fire-life-safety-pe-rollup-tracker-2026","","VP Business Development","DISCOVERY","https://dealseam.com/fire-life-safety-pe-rollup-tracker-2026","2026-08-17","~9,000 employees, 47 states. Most acquisitive fire platform. FSD Protection (Houston), AAA Fire Extinguisher (Lubbock), Texas Homeland Security & Sound. Large in-house BD.","1","Not reviewed","P4-045","","DISCOVERY — not primary-source verified",""
"RapidFire Safety & Security","P4_PLATFORM","","","","","fire_life_safety|commercial_electrical","CA|TX","","yes","Concentric Equity Partners","T3","2025-01-15","https://www.privsource.com/acquisitions/electrical-services/2025","","","DISCOVERY","https://www.privsource.com/acquisitions/electrical-services/2025","2026-08-17","Fire/life safety/low-voltage. Tri-X (San Dimas, CA); All Source Fire Protection (Kerrville, TX).","3","Not reviewed","P4-047","","DISCOVERY — not primary-source verified",""
"Redwood Services","P4_PLATFORM","Memphis","TN","redwoodservices.com","~$1.1B valuation (2025-05)","residential_hvac|residential_plumbing|residential_electrical","WI|IN|CA","","unknown","Altas Partners","T3","2025-04-07","https://ctacquisitions.com/guides/private-equity-hvac-2026/","","","DISCOVERY","https://ctacquisitions.com/guides/private-equity-hvac-2026/","2026-08-17","Partnership model, 35+ acquisitions. CONFLICT: sponsor named as Altas by one source, Sun Capital by another. Both carried.","2","Not reviewed","P4-048","ORG-076 | Redwood Services (Altas Partners)","DISCOVERY — not primary-source verified",""
"Reliable Residential (Franchise Equity Partners)","P4_PLATFORM","","","","","residential_hvac|other","TX","","yes","Franchise Equity Partners","T3","2025-12-15","https://www.privsource.com/","","","DISCOVERY","https://www.privsource.com/","2026-08-17","ACG Smith Texas (Precision Garage Door, DFW + Palo Pinto) Dec 2025. HQ and domain not verified.","1","Not reviewed","P4-050","","DISCOVERY — not primary-source verified",""
"Sciens Building Solutions","P4_PLATFORM","New York","NY","sciensbuildingsolutions.com","","fire_life_safety|building_automation","TX","","yes","The Carlyle Group","T3","2025","https://dealseam.com/fire-life-safety-pe-rollup-tracker-2026","","","DISCOVERY","https://dealseam.com/fire-life-safety-pe-rollup-tracker-2026","2026-08-17","National fire detection/alarm integrator, 10+ divisions incl. Texas. Huron Capital minority.","3","Not reviewed","P4-051","","DISCOVERY — not primary-source verified",""
"Seacoast Service Partners","P4_PLATFORM","","","","","residential_plumbing|commercial_hvac|residential_hvac","FL","","unknown","White Wolf Capital","T3","2025","https://www.privsource.com/acquisitions/private-equity-backed-acquisitions/hvac-mechanical","","","DISCOVERY","https://www.privsource.com/acquisitions/private-equity-backed-acquisitions/hvac-mechanical","2026-08-17","FL plumbing/HVAC/refrigeration. Always Air Services add-on. HQ and domain not verified.","3","Not reviewed","P4-052","","DISCOVERY — not primary-source verified",""
"Service Logic","P4_PLATFORM","Charlotte","NC","servicelogic.com","","commercial_hvac|commercial_mep|building_automation","","","unknown","Bain Capital / Mubadala","T3","2025-12-16","https://ctacquisitions.com/guides/private-equity-hvac-2026/","","","DISCOVERY","https://ctacquisitions.com/guides/private-equity-hvac-2026/","2026-08-17","140+ locations, 5,000+ technicians. Bain took control Dec 2025.","1","Not reviewed","P4-053","","DISCOVERY — not primary-source verified",""
"Sila Services","P4_PLATFORM","King of Prussia","PA","silaservices.com","~$1.7B / ~17x reported (not SEC-filed)","residential_hvac|residential_plumbing|residential_electrical","","","unknown","Goldman Sachs Alternatives","T3","2024-11-10","https://ctacquisitions.com/guides/private-equity-hvac-2026/","","","DISCOVERY","https://ctacquisitions.com/guides/private-equity-hvac-2026/","2026-08-17","NE/Mid-Atlantic/Midwest. Recapped Nov 2024 - fresh capital plus integration mandate.","3","Not reviewed","P4-054","","DISCOVERY — not primary-source verified",""
"Summit Companies","P4_PLATFORM","St. Paul","MN","summitcompanies.com","","fire_life_safety","","","unknown","BDT & MSD Partners","T3","2025-08-01","https://dealseam.com/fire-life-safety-pe-rollup-tracker-2026","","","DISCOVERY","https://dealseam.com/fire-life-safety-pe-rollup-tracker-2026","2026-08-17","37 states. Performance Systems Integration Aug 2025. Sponsor changed to BDT & MSD Aug 2025.","2","Not reviewed","P4-056","","DISCOVERY — not primary-source verified",""
"Tejas Completion Services","P4_PLATFORM","Midland","TX","","","energy_services","TX","","yes","Voyager Interests","T3","2025-03-17","https://www.businesswire.com/","TJ Dostal","CEO","DISCOVERY","https://voyagerinterests.com/","2026-08-17","Specialty pumping. Majority investment Mar 2025. Domain not verified.","2","Not reviewed","P4-060","","DISCOVERY — not primary-source verified",""
"The Mechanical Group","P4_PLATFORM","","","","","commercial_hvac","NV|CA|TX","","yes","Sound Partners / Calico Group","NONE","","https://www.privsource.com/acquisitions/hvac-mechanical/state/nevada","","","DISCOVERY","https://www.privsource.com/acquisitions/hvac-mechanical/state/nevada","2026-08-17","SW HVAC-R from Tradewinds Mechanical (Las Vegas), S&R Air Conditioning (LA), Climate Specialists (Austin). trigger_date not established.","3","Not reviewed","P4-061","","DISCOVERY — not primary-source verified",""
"The Perfect Light","P4_PLATFORM","Farmers Branch","TX","","","commercial_electrical|other","TX","","yes","Argonne Capital Group","T3","2025-10-03","https://www.privsource.com/","","","DISCOVERY","https://www.privsource.com/","2026-08-17","Premier Lighting Enterprises (Van Alstyne, TX) add-on Oct 2025. Domain not verified.","1","Not reviewed","P4-062","","DISCOVERY — not primary-source verified",""
"Wrench Group","P4_PLATFORM","Marietta","GA","wrenchgroup.com","","residential_hvac|residential_plumbing|residential_electrical","","","unknown","Leonard Green & Partners","T3","2024-02-01","https://ctacquisitions.com/guides/private-equity-plumbing-2026/","","","DISCOVERY","https://ctacquisitions.com/guides/private-equity-plumbing-2026/","2026-08-17","25 brands, 27 markets, 14 states. $1.3B refi Sept 2025 (M&A capacity).","3","Not reviewed","P4-066","","DISCOVERY — not primary-source verified",""
